City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,nara,JP,84.49,overcast clouds,34.6851,135.8049,
553,grand gaube,MU,72.37,clear sky,-20.0064,57.6608,
554,monzon,ES,87.82,clear sky,41.9108,0.1941,
555,port blair,IN,82.44,scattered clouds,11.6667,92.75,
559,kumburgaz,TR,85.91,clear sky,41.0211,28.4772,
562,along,IN,75.43,broken clouds,28.1667,94.7667,
563,oranjestad,AW,84.15,few clouds,12.524,-70.027,
564,santa rosa,PH,85.98,moderate rain,14.3122,121.1114,
565,lishui,CN,76.64,clear sky,28.4604,119.9103,
566,saint-georges,GD,85.68,few clouds,12.0564,-61.7485,
567,thinadhoo,MV,83.62,overcast clouds,0.5333,72.9333,
569,yenagoa,NG,73.58,light rain,4.9247,6.2642,
572,khetia,IN,84.16,overcast clouds,21.6667,74.5833,
575,lostice,CZ,80.71,overcast clouds,49.7447,16.9289,
576,narasannapeta,IN,83.53,overcast clouds,18.4167,84.05,
577,tabora,TZ,87.19,broken clouds,-5.0167,32.8,
579,chor,PK,89.62,overcast clouds,25.5167,69.7667,
581,konin,PL,77.14,overcast clouds,52.2234,18.2512,
582,muscat,OM,89.62,scattered clouds,23.6139,58.5922,
585,kismayo,SO,77.97,broken clouds,-0.3582,42.5454,
590,rabaul,PG,80.76,overcast clouds,-4.1967,152.1721,
591,salinopolis,BR,83.98,scattered clouds,-0.6136,-47.3561,
592,puerto carreno,CO,73.38,light intensity drizzle,6.189,-67.4859,
594,chibuto,MZ,73.53,clear sky,-24.6867,33.5306,
595,cao bang,VN,78.96,overcast clouds,22.6667,106.25,
596,ilhabela,BR,80.04,scattered clouds,-23.7781,-45.3581,
598,sao domingos,BR,80.22,clear sky,-13.3983,-46.3183,
599,mirnyy,RU,71.73,clear sky,62.5353,113.9611,
600,mineral wells,US,85.26,clear sky,32.8085,-98.1128,
601,itoman,JP,84.58,broken clouds,26.1247,127.6694,
602,nova venecia,BR,77.95,scattered clouds,-18.7106,-40.4006,
603,sao jose da coroa grande,BR,77.85,scattered clouds,-8.8978,-35.1478,
604,kapit,MY,77.14,overcast clouds,2.0167,112.9333,
605,gunjur,GM,86.07,broken clouds,13.2019,-16.7339,
606,morgan city,US,80.01,clear sky,29.6994,-91.2068,
608,pulandian,CN,74.86,overcast clouds,39.3953,121.9669,
610,keti bandar,PK,83.46,broken clouds,24.1447,67.4497,
611,sorong,ID,76.6,light rain,-0.8833,131.25,
612,itiuba,BR,80.96,scattered clouds,-10.6917,-39.8536,
614,poum,NC,72.52,broken clouds,-20.2333,164.0167,
615,saint-philippe,RE,74.21,broken clouds,-21.3585,55.7679,
616,turmero,VE,82.78,broken clouds,10.2239,-67.4729,
619,kulevcha,UA,87.3,light rain,46.0303,29.9361,
621,itarema,BR,86.95,scattered clouds,-2.9248,-39.9167,
623,gangarampur,IN,85.21,overcast clouds,25.4,88.5167,
624,makungu,TZ,71.17,overcast clouds,-8.7333,35.2833,
625,wajid,SO,88.9,overcast clouds,3.8093,43.2471,
631,agua branca,BR,89.94,few clouds,-5.8922,-42.6361,
635,bobrovytsya,UA,79.0,broken clouds,50.75,31.3833,
636,dongsheng,CN,75.99,scattered clouds,39.8161,109.9776,
637,sovetskiy,RU,75.04,clear sky,61.3614,63.5842,
638,bizhbulyak,RU,71.24,clear sky,53.6967,54.2642,
642,segou,ML,89.33,light rain,13.4317,-6.2157,
644,pokhara,NP,72.81,broken clouds,28.2333,83.9833,
646,verkhoyansk,RU,73.45,overcast clouds,67.5447,133.385,
647,sinnamary,GF,83.77,broken clouds,5.3833,-52.95,
648,khobi,GE,78.51,clear sky,42.3156,41.8987,
653,truro,GB,70.88,few clouds,50.2653,-5.0544,
657,manokwari,ID,78.22,broken clouds,-0.8667,134.0833,
658,kambove,CD,77.47,broken clouds,-10.8764,26.5969,
660,kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,
662,shenjiamen,CN,80.85,clear sky,29.9576,122.298,
663,ugoofaaru,MV,82.06,scattered clouds,5.6667,73.0,
666,arkhangelsk,RU,75.31,scattered clouds,64.5401,40.5433,
668,dothan,US,83.08,clear sky,31.2232,-85.3905,
671,camacha,PT,72.82,broken clouds,33.0833,-16.3333,
672,chernyshevskiy,RU,71.53,clear sky,63.0128,112.4714,
673,samarai,PG,78.3,overcast clouds,-10.6167,150.6667,
675,japura,ID,76.35,broken clouds,-0.3167,102.35,
677,houlton,US,78.73,clear sky,46.1262,-67.8403,
679,hobyo,SO,79.07,broken clouds,5.3505,48.5268,
682,harper,LR,79.25,scattered clouds,4.375,-7.7169,
685,lakatoro,VU,78.96,overcast clouds,-16.0999,167.4164,
687,bogorodskoye,RU,75.38,overcast clouds,56.55,37.8833,
688,udalguri,IN,79.21,overcast clouds,26.7667,92.1333,
690,ileza,RU,73.58,overcast clouds,61.0533,43.9002,
691,oktyabrskiy,RU,72.52,clear sky,54.4815,53.471,
694,groningen,NL,71.22,few clouds,53.25,6.75,
696,ha tinh,VN,81.61,clear sky,18.3333,105.9,
697,lasa,IT,76.69,overcast clouds,46.6166,10.7002,
700,hrymayliv,UA,79.48,overcast clouds,49.3321,26.0111,
